,full_name,first_race,series
0,Keith McGee,2021,cw
1,Jessica Friesen,2021,cw
2,Drew Dollar,2022,xf
3,Drew Dollar,2021,cw
4,Codie Rohrbaugh,2018,cw
5,Donny Schatz,2021,cw
6,Parker Price-Miller,2021,cw
7,Todd Peck,2015,xf
8,Todd Peck,2011,cw
9,Cody Erickson,2014,cw
10,Akinori Ogata,2018,xf
11,Akinori Ogata,2014,cw
12,Michele Abbate,2021,cw
13,Chris Windom,2021,sc
14,Chris Windom,2017,cw
15,Chad Chastain,2021,cw
16,Jett Noland,2021,cw
17,Devon Rouse,2021,cw
18,Bayley Currey,2019,sc
19,Bayley Currey,2018,xf
20,Bayley Currey,2017,cw
21,Camden Murphy,2016,xf
22,Camden Murphy,2014,cw
23,Sage Karam,2021,xf
24,Sage Karam,2021,cw
25,Conor Daly,2018,xf
26,Conor Daly,2020,cw
27,Ray Ciccarelli,2017,cw
28,Jesse Iwuji,2020,xf
29,Jesse Iwuji,2018,cw
30,Kyle Donahue,2016,cw
31,Travis Pastrana,2012,xf
32,Travis Pastrana,2012,cw
33,Angela Ruch,2011,xf
34,Angela Ruch,2010,cw
35,Trevor Bayne,2010,sc
36,Trevor Bayne,2009,xf
37,Trevor Bayne,2020,cw
38,Stefan Parsons,2019,xf
39,Stefan Parsons,2018,cw
40,Mike Skeen,2018,xf
41,Mike Skeen,2013,cw
42,David Gravel,2020,cw
43,Kevin Donahue,2016,cw
44,Bryan Collyer,2020,cw
45,Ryan Huff,2020,cw
46,Colin Garrett,2019,xf
47,Colin Garrett,2019,cw
48,Ted Minor,2014,cw
49,Tyler Matthews,2019,xf
50,Tyler Matthews,2018,cw
51,Tanner Thorson,2018,cw
52,Max Tullman,2018,xf
53,Max Tullman,2018,cw
54,Tommy Regan,2017,sc
55,Tommy Regan,2014,cw
56,Mike Harmon,1996,xf
57,Mike Harmon,2001,cw
58,Jamie Mosley,2003,xf
59,Jamie Mosley,2009,cw
60,Logan Norman Seavey,2018,cw
61,Brian Kaltreider,2018,cw
62,Mike Senica,2017,cw
63,Chris Eggleston,2010,cw
64,Brad Foy,2018,cw
65,Michael Affarano,2014,cw
66,Justin Kunz,2018,cw
67,Michel Disdier,2014,cw
68,Michel Disdier,2007, Canadian Tire Series season
69,Brandon Hightower,2016,xf
70,Brandon Hightower,2015,cw
71,Donnie Levister,2017,cw
72,Vinnie Miller,2017,xf
73,Vinnie Miller,2017,cw
74,Bryce Napier,2016,cw
75,Enrique Contreras III,2015,xf
76,Enrique Contreras III,2014,cw
77,Enrique Contreras III,2011, Mexico Series
78,Paige Decker,2016,xf
79,Paige Decker,2015,cw
80,Brady Boswell,2016,cw
81,Caleb Roark,2014,xf
82,Caleb Roark,2011,cw
83,Claire Decker,2016,cw
84,Dominique Van Wieringen,2016,cw
85,Patrick Staropoli,2016,cw
86,Mike Bliss,1998,sc
87,Mike Bliss,1998,xf
88,Mike Bliss,1995,cw
89,Casey Smith,2016,cw
90,Kyle Martel,2012,cw
91,Joey Gattina,2015,cw
92,Kyle Weatherman,2017,sc
93,Kyle Weatherman,2019,xf
94,Kyle Weatherman,2015,cw
95,Donnie Neuenberger,2002,xf
96,Donnie Neuenberger,2000,cw
97,Adam Edwards,2012,cw
98,Ross Kenseth,2015,xf
99,Ross Kenseth,2015,cw
100,Stewart Hayward,2015,cw
101,Kyle Fowler,2014,sc
102,Kyle Fowler,2012,xf
103,Kyle Fowler,2015,cw
104,Tyler Tanner,2011,cw
105,Jody Knowles,2014,cw
106,Stanton Barrett,1999,sc
107,Stanton Barrett,1992,xf
108,Stanton Barrett,2015,cw
109,Danny Bohn,2021,xf
110,Danny Bohn,2019,cw
111,Dawson Cram,2021,xf
112,Dawson Cram,2018,cw
113,Chris Cockrum,2014,xf
114,Chris Cockrum,2011,cw
117,Ryan Eversley,2021,sc
118,James Davison,2020,sc
119,James Davison,2016,xf
122,Kyle Tilley,2021,sc
123,Kyle Tilley,2021,xf
124,Colby Howard,2020,xf
125,Colby Howard,2019,cw
126,Harold Crooms,2020,xf
127,Bobby Reuse,2014,xf
128,Bobby Reuse,2017,cw
129,Earl Bamber,2020,xf
130,Ja Junior Avila,2018,xf
133,Ryan Repko,2019,xf
136,Dick Karth,2019,xf
141,Mike Marlar,2021,sc
142,Mike Marlar,2019,xf
143,Mike Marlar,2019,cw
144,Lawson Aschenbach,2015,xf
145,Dan Corcoran,2019,xf
146,Dan Corcoran,2019,cw
147,Hermie Sadler,1996,sc
148,Hermie Sadler,1992,xf
149,Hermie Sadler,1995,cw
150,Bobby Earnhardt,2017,xf
154,Chris Dyson,2019,xf
155,Aaron Quine,2019,xf
156,Nicolas Hammann,2016,xf
157,Jack Hawksworth,2019,xf
160,Tony Mrakovich,2018,xf
161,Tony Mrakovich,2019,cw
164,Katherine Legge,2018,xf
165,Tim Cowen,2014,xf
166,Tim Cowen,2007,cw
169,Blake Jones,2018,sc
170,Blake Jones,2016,xf
171,Dylan Murcott,2018,xf
172,Quin Houff,2019,sc
173,Quin Houff,2017,xf
174,Cole Rouse,2018,xf
175,Benny Gordon,2009,xf
176,Benny Gordon,2007,cw
177,Enrique Baca,2017,xf
178,Devin Jones,2017,xf
179,Devin Jones,2013,cw
180,Ernie Francis Jr,2017,xf
181,Drew Herring,2019,sc
182,Drew Herring,2010,xf
183,Drew Herring,2012,cw
184,Anthony Kumpen,2015,xf
185,Martin Roy,2014,xf
186,Martin Roy,2013,cw
187,Martin Roy,2011, Canadian Tire Series
188,Clint King,2016,xf
189,Matt Waltz,2015,xf
191,Alli Owens,2016,xf
192,Owen Kelly,2013,sc
193,Owen Kelly,2010,xf
194,Roger Reuse,2014,xf
195,Roger Reuse,2018,cw
196,Kenny Habul,2012,xf
197,Kenny Habul,2013,cw
198,Alex Guenette,2016,xf
199,Alex Guenette,2013,cw
200,Alex Guenette,2013," ""Pintys Series"""
203,Tomy Drissi,2012,sc
204,Tomy Drissi,2010,xf
205,Chris Fontaine,2005,cw
206,Brandon McReynolds,2010,xf
207,Brandon McReynolds,2012,cw
208,Brandon McReynolds,2018," ""Pintys Series"""
215,Zach Bruenger,2015,xf
216,Michael Self,2015,xf
217,Jamie Dick,2011,xf
218,Jamie Dick,2009,cw
219,Matt Frahm,2011,xf
225,Scott Heckert,2021,sc
226,Scott Heckert,2016,xf
227,Shane Golobic,2021,sc
248,Matt Crafton,2015,sc
249,Matt Crafton,2013,xf
250,Matt Crafton,2000,cw
256,Jesse Little,2018,sc
257,Jesse Little,2020,xf
258,Jesse Little,2015,cw
264,Carl Long,2000,sc
265,Carl Long,2001,xf
266,Carl Long,1998,cw
267,Timothy Peters,2018,sc
268,Timothy Peters,2006,xf
269,Timothy Peters,2005,cw
272,Gary Klutt,2017,sc
273,Gary Klutt,2016,cw
274,Gary Klutt,2010, Canadian Tire Series
275,Eddie MacDonald,2014,sc
276,Eddie MacDonald,2007,xf
277,Eddie MacDonald,2010,cw
278,Dylan Lupton,2016,sc
279,Dylan Lupton,2015,xf
280,Dylan Lupton,2016,cw
287,Will Kimmel III,2015,sc
288,Will Kimmel III,2011,xf
289,Will Kimmel III,2010,cw
290,Andrew Gordon,2021,cw
291,Justin S Carroll,2022,cw
292,Samuel Lecomte,2021,cw
293,Jake Garcia,2022,cw
294,John Atwell,2021,cw
295,Buddy Kofoid,2022,cw
296,Brian Brown,2021,cw
297,Ryan Ellis,2015,sc
298,Ryan Ellis,2012,xf
299,Ryan Ellis,2014,cw
300,Cameron Lawrence,2021,cw
301,Morgan Alexander,2021,cw
302,Bobby Kennedy,2020,cw
303,Nick Hoffman,2010,cw
304,Brandon Brown,2016,xf
305,Brandon Brown,2014,cw
306,Joe Hudson,2017,cw
307,Max Johnston,2017,cw
308,Bobby Pierce,2015,cw
309,Brian Wong,2015,cw
310,Terry Jones,2010,cw
311,Travis Miller,2012,cw
312,Shane Lee,2018,xf
313,Shane Lee,2016,cw
314,Ryan Lynch,2012,cw
315,Wayne Edwards,2003,xf
316,Wayne Edwards,2000,cw
317,David Levine,2015,cw
318,Nick Drake,2016,cw
319,Carlos Contreras,2003,xf
320,Carlos Contreras,1999,cw
321,Carlos Contreras,2008, Toyota Series season
322,Josh White,2016,cw
323,Justin Jennings,2012,xf
324,Justin Jennings,2012,cw
325,Cody Lane,2018,xf
326,Cassie Gannis,2015,cw
327,Daniel Brown,2015,cw
328,Gar Robinson,2022,xf
329,Tyler Hill,2018,xf
330,Tyler Hill,2019,cw
331,James French,2018,xf
332,Peter Shepherd,2018,xf
333,Peter Shepherd,2006,cw
334,Peter Shepherd,2008, Canadian Tire Series season
337,Brian Henderson,2017,xf
338,Stephen Young,2017,xf
339,John Graham,2004,xf
340,Derek White,2015,sc
341,Derek White,2012,xf
342,Derek White,2009,cw
343,Derek White,2009, Canadian Tire Series season
344,Michael Lira,2016,xf
345,Matt Wallace,2015,xf
349,Kevin O'Connell,2017,sc
350,Kevin O'Connell,2008,xf
351,Ben Rhodes,2021,sc
352,Ben Rhodes,2015,xf
353,Ben Rhodes,2014,cw
354,Josh Williams,2016,xf
355,Josh Williams,2014,cw
359,Matt Mills,2021,sc
360,Matt Mills,2017,xf
361,Matt Mills,2016,cw
362,David Starr,2011,sc
363,David Starr,2000,xf
364,David Starr,1998,cw
365,Billy Johnson,2017,sc
366,Billy Johnson,2010,xf
373,Doug Coby III,2021,cw
374,Jr Heffner,2014,cw
375,Anthony Mrakovich,2018,xf
376,Anthony Mrakovich,2019,cw
377,Victor Gonzalez Jr,2013,sc
378,Victor Gonzalez Jr,2009,xf
379,Victor Gonzalez Jr,2017,cw
380,Joshua Reeves,2016,cw
381,Cj Faison,2015,xf
382,Cj Faison,2013,cw
383,Derek Scott Jr,2016,cw
384,Nicholas Sanchez,2022,xf
385,Rc Enerson,2021,sc
386,Rc Enerson,2020,xf
390,Robert Richardson,2009,sc
391,Robert Richardson,2007,xf
392,Robert Richardson,2005,cw
393,Ruben Pardo,2007,xf
394,Ruben Pardo,2015,cw
395,Matthew Bell,2012,xf
